Categoria,Ciudad,Pais/Región,Nombre del Cliente,Proveedor,Fecha de Orden,ID Orden,Codigo Postal,Nombre de Producto,Region,Segmento,Fecha de Envio,Modo de Envio,Estado/Provincia,Sub-Categoria,Descuento,Ganancia,Cantidad,Ventas
Suministros de Oficina,Detroit,United States,Mike Vittorini,Space Solutions,30/01/2019,US-2019-134103,48234,Space Solutions HD Industrial Steel Shelving.,Central,Consumidor,04/02/2019,Standard Class,Michigan,Almacenamiento,0,6.8982,2,229.94
Muebles,Mission Viejo,United States,Liz Carlisle,Sauder,31/01/2019,US-2019-115161,92691,"Sauder Facets Collection Library, Sky Alder Finish",Oeste,Consumidor,02/02/2019,First Class,California,Libreros,0.15,3.4196,2,290.666
Tecnología,Green Bay,United States,Bradley Drucker,Enermax,01/02/2019,US-2019-140795,54302,Enermax Aurora Lite Keyboard,Central,Consumidor,03/02/2019,First Class,Wisconsin,Accesorios,0,206.316,6,468.9
Suministros de Oficina,Saint Petersburg,United States,Eric Barreto,Other,02/02/2019,US-2019-123400,33710,Surelock Post Binders,Sur,Consumidor,09/02/2019,Standard Class,Florida,Portafolio,0.7,-12.224,2,18.336
Suministros de Oficina,San Diego,United States,Cynthia Delaney,Other,02/02/2019,US-2019-139857,92037,Staples,Oeste,Home Office,06/02/2019,Standard Class,California,Ajustadores,0,5.8045,5,12.35
Tecnología,Saint Petersburg,United States,Eric Barreto,AT&T,02/02/2019,US-2019-123400,33710,AT&T 17929 Lendline Telephone,Sur,Consumidor,09/02/2019,Standard Class,Florida,Telefonos,0.2,13.572,5,180.96
Suministros de Oficina,Seattle,United States,Tom Boeckenhauer,Avery,03/02/2019,US-2019-111059,98105,Avery Durable Poly Binders,Oeste,Consumidor,06/02/2019,Second Class,Washington,Portafolio,0.2,4.3134,3,13.272
Suministros de Oficina,Seattle,United States,Tom Boeckenhauer,Ibico,03/02/2019,US-2019-111059,98105,Ibico Laser Imprintable Binding System Covers,Oeste,Consumidor,06/02/2019,Second Class,Washington,Portafolio,0.2,27.248,2,83.84
Suministros de Oficina,Escondido,United States,Mark Haberlin,GBC,04/02/2019,US-2019-104808,92025,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Oeste,Corporativo,08/02/2019,Second Class,California,Portafolio,0.2,6.0368,2,17.248
Suministros de Oficina,San Diego,United States,Deborah Brumfield,GBC,04/02/2019,US-2019-107181,92024,GBC Recycled Grain Textured Covers,Oeste,Home Office,08/02/2019,Standard Class,California,Portafolio,0.2,29.0136,3,82.896
Suministros de Oficina,San Diego,United States,Deborah Brumfield,Message Book,04/02/2019,US-2019-107181,92024,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",Oeste,Home Office,08/02/2019,Standard Class,California,Papel,0,16.0928,4,34.24
Suministros de Oficina,Romeoville,United States,Delfina Latchford,Avery,06/02/2019,US-2019-108182,60441,"Avery Flip-Chart Easel Binder, Black",Central,Consumidor,10/02/2019,Second Class,Illinois,Portafolio,0.8,-14.7708,2,8.952
Suministros de Oficina,Chesapeake,United States,Neil Ducich,Avery,06/02/2019,US-2019-131905,23320,Avery 480,Sur,Corporativo,09/02/2019,First Class,Virginia,Etiquetas,0,7.2,4,15
Tecnología,Chesapeake,United States,Neil Ducich,AT&T,06/02/2019,US-2019-131905,23320,AT&T CL82213,Sur,Corporativo,09/02/2019,First Class,Virginia,Telefonos,0,42.0355,5,144.95
Tecnología,Chesapeake,United States,Neil Ducich,Other,06/02/2019,US-2019-131905,23320,Aastra 57i VoIP phone,Sur,Corporativo,09/02/2019,First Class,Virginia,Telefonos,0,42.0186,1,161.61
Suministros de Oficina,New York City,United States,Chris Selesnick,Acco,07/02/2019,US-2019-169390,10024,Acco Perma 4000 Stacking Storage Drawers,Este,Corporativo,10/02/2019,Second Class,New York,Almacenamiento,0,9.744,4,64.96
Tecnología,Linden,United States,Cyma Kinney,Maxell,07/02/2019,US-2019-107755,7036,Maxell DVD-RAM Discs,Este,Corporativo,12/02/2019,Standard Class,New Jersey,Accesorios,0,49.6048,7,115.36
Muebles,North Las Vegas,United States,Nathan Mautz,Master Caster,08/02/2019,US-2019-125759,89031,"Master Caster Door Stop, Large Brown",Oeste,Home Office,09/02/2019,First Class,Nevada,Muebleria,0,5.5328,2,14.56
Muebles,Columbia,United States,Guy Armstrong,Global,11/02/2019,US-2019-168368,65203,"Global Value Mid-Back Manager's Chair, Gray",Central,Consumidor,15/02/2019,Second Class,Missouri,Sillas,0,15.2225,1,60.89
Muebles,Columbia,United States,Guy Armstrong,Other,11/02/2019,US-2019-168368,65203,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,Consumidor,15/02/2019,Second Class,Missouri,Muebleria,0,53.2704,3,332.94
Muebles,Chesapeake,United States,Natalie Fritzler,Hon,11/02/2019,US-2019-127614,23320,Hon 2111 Invitation Series Corner Table,Sur,Consumidor,15/02/2019,Standard Class,Virginia,Mesas,0,75.3732,6,1256.22
Suministros de Oficina,Chesapeake,United States,Natalie Fritzler,Wilson Jones,11/02/2019,US-2019-127614,23320,Wilson Jones Leather-Like Binders with DublLock Round Rings,Sur,Consumidor,15/02/2019,Standard Class,Virginia,Portafolio,0,8.2062,2,17.46
Suministros de Oficina,Columbia,United States,Guy Armstrong,Other,11/02/2019,US-2019-168368,65203,VariCap6 Expandable Binder,Central,Consumidor,15/02/2019,Second Class,Missouri,Portafolio,0,24.393,3,51.9
Suministros de Oficina,Columbia,United States,Guy Armstrong,Wilson Jones,11/02/2019,US-2019-168368,65203,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Central,Consumidor,15/02/2019,Second Class,Missouri,Portafolio,0,4.4344,2,9.64
Suministros de Oficina,Columbia,United States,Guy Armstrong,Avery,11/02/2019,US-2019-168368,65203,Avery 483,Central,Consumidor,15/02/2019,Second Class,Missouri,Etiquetas,0,6.8724,3,14.94
Suministros de Oficina,Columbia,United States,Guy Armstrong,Fellowes,11/02/2019,US-2019-168368,65203,Fellowes Neat Ideas Storage Cubes,Central,Consumidor,15/02/2019,Second Class,Missouri,Almacenamiento,0,2.5984,2,64.96
Tecnología,Chesapeake,United States,Natalie Fritzler,Enermax,11/02/2019,US-2019-127614,23320,Enermax Aurora Lite Keyboard,Sur,Consumidor,15/02/2019,Standard Class,Virginia,Accesorios,0,103.158,3,234.45
Muebles,Concord,United States,Sanjit Chand,Global,12/02/2019,US-2019-110674,94521,"Global Geo Office Task Chair, Gray",Oeste,Consumidor,18/02/2019,Standard Class,California,Sillas,0.2,-24.294,2,129.568
Suministros de Oficina,Seattle,United States,Marina Lichtenstein,Belkin,14/02/2019,US-2019-121762,98103,Belkin 8 Outlet Surge Protector,Oeste,Corporativo,18/02/2019,Standard Class,Washington,Linea Blanca,0,22.9488,2,81.96
Suministros de Oficina,Houston,United States,Shui Tom,Other,14/02/2019,US-2019-107706,77095,"Memo Book, 100 Message Capacity, 5 3/8” x 11”",Central,Consumidor,19/02/2019,Second Class,Texas,Papel,0.2,6.066,3,16.176
Suministros de Oficina,Seattle,United States,Marina Lichtenstein,Other,14/02/2019,US-2019-121762,98103,Compact Automatic Electric Letter Opener,Oeste,Corporativo,18/02/2019,Standard Class,Washington,Papeleria,0,4.7724,2,238.62
Tecnología,Seattle,United States,Marina Lichtenstein,Logitech,14/02/2019,US-2019-121762,98103,Logitech G600 MMO Gaming Mouse,Oeste,Corporativo,18/02/2019,Standard Class,Washington,Accesorios,0,86.3892,3,239.97
Suministros de Oficina,Seattle,United States,Barry Französisch,Pressboard,15/02/2019,US-2019-165568,98105,Pressboard Data Binders by Wilson Jones,Oeste,Corporativo,19/02/2019,Standard Class,Washington,Portafolio,0.2,7.209,5,21.36
Suministros de Oficina,Dallas,United States,Michael Nguyen,Holmes,16/02/2019,US-2019-122567,75220,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Central,Consumidor,21/02/2019,Standard Class,Texas,Linea Blanca,0.8,-13.93,2,7.96
Suministros de Oficina,Dallas,United States,Michael Nguyen,Wilson Jones,16/02/2019,US-2019-122567,75220,Wilson Jones Easy Flow II Sheet Lifters,Central,Consumidor,21/02/2019,Standard Class,Texas,Portafolio,0.8,-1.728,3,1.08
